Aviation NOx fraction as a proportion of total anthropogenic NOx emissions,,,,
Original sources: ,RCP emissions database pik.potsdam.de/~mmalte/rcps,,,
,RCP database tntcat.iiasa.ac.at/RcpDb/,,,
Method: ,Linearly interpolate between decades. Years before 1930 and after 2100 are set equal to 1930 and 2100 respectively.,,,
Year,RCP3PD,RCP4.5,RCP6,RCP8.5
1765,0,0,0,0
1766,0,0,0,0
1767,0,0,0,0
1768,0,0,0,0
1769,0,0,0,0
1770,0,0,0,0
1771,0,0,0,0
1772,0,0,0,0
1773,0,0,0,0
1774,0,0,0,0
1775,0,0,0,0
1776,0,0,0,0
1777,0,0,0,0
1778,0,0,0,0
1779,0,0,0,0
1780,0,0,0,0
1781,0,0,0,0
1782,0,0,0,0
1783,0,0,0,0
1784,0,0,0,0
1785,0,0,0,0
1786,0,0,0,0
1787,0,0,0,0
1788,0,0,0,0
1789,0,0,0,0
1790,0,0,0,0
1791,0,0,0,0
1792,0,0,0,0
1793,0,0,0,0
1794,0,0,0,0
1795,0,0,0,0
1796,0,0,0,0
1797,0,0,0,0
1798,0,0,0,0
1799,0,0,0,0
1800,0,0,0,0
1801,0,0,0,0
1802,0,0,0,0
1803,0,0,0,0
1804,0,0,0,0
1805,0,0,0,0
1806,0,0,0,0
1807,0,0,0,0
1808,0,0,0,0
1809,0,0,0,0
1810,0,0,0,0
1811,0,0,0,0
1812,0,0,0,0
1813,0,0,0,0
1814,0,0,0,0
1815,0,0,0,0
1816,0,0,0,0
1817,0,0,0,0
1818,0,0,0,0
1819,0,0,0,0
1820,0,0,0,0
1821,0,0,0,0
1822,0,0,0,0
1823,0,0,0,0
1824,0,0,0,0
1825,0,0,0,0
1826,0,0,0,0
1827,0,0,0,0
1828,0,0,0,0
1829,0,0,0,0
1830,0,0,0,0
1831,0,0,0,0
1832,0,0,0,0
1833,0,0,0,0
1834,0,0,0,0
1835,0,0,0,0
1836,0,0,0,0
1837,0,0,0,0
1838,0,0,0,0
1839,0,0,0,0
1840,0,0,0,0
1841,0,0,0,0
1842,0,0,0,0
1843,0,0,0,0
1844,0,0,0,0
1845,0,0,0,0
1846,0,0,0,0
1847,0,0,0,0
1848,0,0,0,0
1849,0,0,0,0
1850,0,0,0,0
1851,0,0,0,0
1852,0,0,0,0
1853,0,0,0,0
1854,0,0,0,0
1855,0,0,0,0
1856,0,0,0,0
1857,0,0,0,0
1858,0,0,0,0
1859,0,0,0,0
1860,0,0,0,0
1861,0,0,0,0
1862,0,0,0,0
1863,0,0,0,0
1864,0,0,0,0
1865,0,0,0,0
1866,0,0,0,0
1867,0,0,0,0
1868,0,0,0,0
1869,0,0,0,0
1870,0,0,0,0
1871,0,0,0,0
1872,0,0,0,0
1873,0,0,0,0
1874,0,0,0,0
1875,0,0,0,0
1876,0,0,0,0
1877,0,0,0,0
1878,0,0,0,0
1879,0,0,0,0
1880,0,0,0,0
1881,0,0,0,0
1882,0,0,0,0
1883,0,0,0,0
1884,0,0,0,0
1885,0,0,0,0
1886,0,0,0,0
1887,0,0,0,0
1888,0,0,0,0
1889,0,0,0,0
1890,0,0,0,0
1891,0,0,0,0
1892,0,0,0,0
1893,0,0,0,0
1894,0,0,0,0
1895,0,0,0,0
1896,0,0,0,0
1897,0,0,0,0
1898,0,0,0,0
1899,0,0,0,0
1900,0,0,0,0
1901,0,0,0,0
1902,0,0,0,0
1903,0,0,0,0
1904,0,0,0,0
1905,0,0,0,0
1906,0,0,0,0
1907,0,0,0,0
1908,0,0,0,0
1909,0,0,0,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0.00025067,0.00025067,0.00025067,0.00025067
1932,0.00050134,0.00050134,0.00050134,0.00050134
1933,0.00075201,0.00075201,0.00075201,0.00075201
1934,0.00100268,0.00100268,0.00100268,0.00100268
1935,0.00125335,0.00125335,0.00125335,0.00125335
1936,0.00150402,0.00150402,0.00150402,0.00150402
1937,0.00175469,0.00175469,0.00175469,0.00175469
1938,0.00200536,0.00200536,0.00200536,0.00200536
1939,0.00225603,0.00225603,0.00225603,0.00225603
1940,0.0025067,0.0025067,0.0025067,0.0025067
1941,0.00266991,0.00266991,0.00266991,0.00266991
1942,0.00283313,0.00283313,0.00283313,0.00283313
1943,0.00299634,0.00299634,0.00299634,0.00299634
1944,0.00315955,0.00315955,0.00315955,0.00315955
1945,0.00332276,0.00332276,0.00332276,0.00332276
1946,0.00348597,0.00348597,0.00348597,0.00348597
1947,0.00364918,0.00364918,0.00364918,0.00364918
1948,0.0038124,0.0038124,0.0038124,0.0038124
1949,0.00397561,0.00397561,0.00397561,0.00397561
1950,0.00413882,0.00413882,0.00413882,0.00413882
1951,0.00441129,0.00441129,0.00441129,0.00441129
1952,0.00468377,0.00468377,0.00468377,0.00468377
1953,0.00495624,0.00495624,0.00495624,0.00495624
1954,0.00522872,0.00522872,0.00522872,0.00522872
1955,0.00550119,0.00550119,0.00550119,0.00550119
1956,0.00577367,0.00577367,0.00577367,0.00577367
1957,0.00604614,0.00604614,0.00604614,0.00604614
1958,0.00631861,0.00631861,0.00631861,0.00631861
1959,0.00659109,0.00659109,0.00659109,0.00659109
1960,0.00686356,0.00686356,0.00686356,0.00686356
1961,0.00725895,0.00725895,0.00725895,0.00725895
1962,0.00765433,0.00765433,0.00765433,0.00765433
1963,0.00804971,0.00804971,0.00804971,0.00804971
1964,0.00844509,0.00844509,0.00844509,0.00844509
1965,0.00884048,0.00884048,0.00884048,0.00884048
1966,0.00923586,0.00923586,0.00923586,0.00923586
1967,0.00963124,0.00963124,0.00963124,0.00963124
1968,0.01002662,0.01002662,0.01002662,0.01002662
1969,0.01042201,0.01042201,0.01042201,0.01042201
1970,0.01081739,0.01081739,0.01081739,0.01081739
1971,0.01097137,0.01097137,0.01097137,0.01097137
1972,0.01112536,0.01112536,0.01112536,0.01112536
1973,0.01127934,0.01127934,0.01127934,0.01127934
1974,0.01143332,0.01143332,0.01143332,0.01143332
1975,0.01158731,0.01158731,0.01158731,0.01158731
1976,0.01174129,0.01174129,0.01174129,0.01174129
1977,0.01189528,0.01189528,0.01189528,0.01189528
1978,0.01204926,0.01204926,0.01204926,0.01204926
1979,0.01220324,0.01220324,0.01220324,0.01220324
1980,0.01235723,0.01235723,0.01235723,0.01235723
1981,0.01276429,0.01276429,0.01276429,0.01276429
1982,0.01317135,0.01317135,0.01317135,0.01317135
1983,0.01357841,0.01357841,0.01357841,0.01357841
1984,0.01398547,0.01398547,0.01398547,0.01398547
1985,0.01439253,0.01439253,0.01439253,0.01439253
1986,0.01479959,0.01479959,0.01479959,0.01479959
1987,0.01520665,0.01520665,0.01520665,0.01520665
1988,0.01561371,0.01561371,0.01561371,0.01561371
1989,0.01602077,0.01602077,0.01602077,0.01602077
1990,0.01642783,0.01642783,0.01642783,0.01642783
1991,0.01700835,0.01700835,0.01700835,0.01700835
1992,0.01758887,0.01758887,0.01758887,0.01758887
1993,0.01816939,0.01816939,0.01816939,0.01816939
1994,0.01874991,0.01874991,0.01874991,0.01874991
1995,0.01933043,0.01933043,0.01933043,0.01933043
1996,0.01991095,0.01991095,0.01991095,0.01991095
1997,0.02049147,0.02049147,0.02049147,0.02049147
1998,0.02107199,0.02107199,0.02107199,0.02107199
1999,0.02165251,0.02165251,0.02165251,0.02165251
2000,0.02223303,0.02223303,0.02223303,0.02223303
2001,0.02273665,0.02251698,0.02249218,0.02269959
2002,0.02324028,0.02280094,0.02275134,0.02316616
2003,0.02374391,0.0230849,0.02301049,0.02363273
2004,0.02424753,0.02336886,0.02326965,0.02409929
2005,0.02475116,0.02365282,0.0235288,0.02456586
2006,0.02525479,0.02393678,0.02378796,0.02503242
2007,0.02575841,0.02422074,0.02404711,0.02549899
2008,0.02626204,0.0245047,0.02430627,0.02596556
2009,0.02676567,0.02478866,0.02456542,0.02643212
2010,0.0272693,0.02507262,0.02482458,0.02689869
2011,0.02800499,0.02549772,0.02527953,0.02723403
2012,0.02874067,0.02592282,0.02573449,0.02756937
2013,0.02947636,0.02634793,0.02618944,0.02790472
2014,0.03021205,0.02677303,0.0266444,0.02824006
2015,0.03094774,0.02719814,0.02709936,0.0285754
2016,0.03168343,0.02762324,0.02755431,0.02891074
2017,0.03241912,0.02804834,0.02800927,0.02924608
2018,0.03315481,0.02847345,0.02846423,0.02958142
2019,0.0338905,0.02889855,0.02891918,0.02991677
2020,0.03462619,0.02932365,0.02937414,0.03025211
2021,0.0346424,0.02991735,0.0300211,0.03085359
2022,0.03465861,0.03051105,0.03066807,0.03145507
2023,0.03467482,0.03110476,0.03131503,0.03205655
2024,0.03469103,0.03169846,0.031962,0.03265803
2025,0.03470724,0.03229216,0.03260896,0.03325951
2026,0.03472345,0.03288586,0.03325592,0.03386098
2027,0.03473966,0.03347956,0.03390289,0.03446246
2028,0.03475588,0.03407326,0.03454985,0.03506394
2029,0.03477209,0.03466696,0.03519682,0.03566542
2030,0.0347883,0.03526066,0.03584378,0.0362669
2031,0.03541368,0.03604586,0.03644557,0.03739093
2032,0.03603907,0.03683106,0.03704735,0.03851495
2033,0.03666446,0.03761626,0.03764914,0.03963898
2034,0.03728984,0.03840146,0.03825092,0.040763
2035,0.03791523,0.03918666,0.03885271,0.04188703
2036,0.03854062,0.03997186,0.0394545,0.04301105
2037,0.039166,0.04075706,0.04005628,0.04413508
2038,0.03979139,0.04154226,0.04065807,0.0452591
2039,0.04041678,0.04232746,0.04125985,0.04638313
2040,0.04104216,0.04311266,0.04186164,0.04750715
2041,0.0412638,0.04423725,0.04255137,0.04869988
2042,0.04148544,0.04536185,0.0432411,0.0498926
2043,0.04170708,0.04648644,0.04393083,0.05108533
2044,0.04192872,0.04761103,0.04462056,0.05227806
2045,0.04215037,0.04873563,0.0453103,0.05347079
2046,0.04237201,0.04986022,0.04600003,0.05466351
2047,0.04259365,0.05098481,0.04668976,0.05585624
2048,0.04281529,0.05210941,0.04737949,0.05704897
2049,0.04303693,0.053234,0.04806922,0.05824169
2050,0.04325857,0.05435859,0.04875895,0.05943442
2051,0.04191362,0.05568367,0.04930403,0.06087367
2052,0.04056867,0.05700876,0.0498491,0.06231293
2053,0.03922372,0.05833384,0.05039418,0.06375218
2054,0.03787877,0.05965892,0.05093925,0.06519143
2055,0.03653381,0.060984,0.05148433,0.06663068
2056,0.03518886,0.06230908,0.0520294,0.06806994
2057,0.03384391,0.06363416,0.05257448,0.06950919
2058,0.03249896,0.06495924,0.05311955,0.07094844
2059,0.03115401,0.06628432,0.05366463,0.07238769
2060,0.02980906,0.0676094,0.0542097,0.07382695
2061,0.02801007,0.06923889,0.05514006,0.07536524
2062,0.02621107,0.07086837,0.05607042,0.07690353
2063,0.02441208,0.07249786,0.05700078,0.07844183
2064,0.02261309,0.07412735,0.05793114,0.07998012
2065,0.02081409,0.07575684,0.0588615,0.08151841
2066,0.0190151,0.07738632,0.05979186,0.0830567
2067,0.01721611,0.07901581,0.06072221,0.084595
2068,0.01541711,0.0806453,0.06165257,0.08613329
2069,0.01361812,0.08227479,0.06258293,0.08767158
2070,0.01181913,0.08390427,0.06351329,0.08920988
2071,0.01114264,0.08595147,0.06413734,0.09070273
2072,0.01046616,0.08799867,0.06476139,0.09219558
2073,0.00978967,0.09004588,0.06538543,0.09368843
2074,0.00911318,0.09209308,0.06600948,0.09518129
2075,0.0084367,0.09414028,0.06663353,0.09667414
2076,0.00776021,0.09618748,0.06725758,0.09816699
2077,0.00708372,0.09823468,0.06788163,0.09965984
2078,0.00640724,0.10028188,0.06850567,0.1011527
2079,0.00573075,0.10232908,0.06912972,0.10264555
2080,0.00505427,0.10437628,0.06975377,0.1041384
2081,0.00509806,0.1057957,0.06998832,0.105968
2082,0.00514186,0.10721511,0.07022287,0.10779759
2083,0.00518565,0.10863453,0.07045742,0.10962719
2084,0.00522945,0.11005395,0.07069198,0.11145679
2085,0.00527325,0.11147336,0.07092653,0.11328638
2086,0.00531704,0.11289278,0.07116108,0.11511598
2087,0.00536084,0.1143122,0.07139563,0.11694558
2088,0.00540464,0.11573162,0.07163018,0.11877517
2089,0.00544843,0.11715103,0.07186473,0.12060477
2090,0.00549223,0.11857045,0.07209929,0.12243436
2091,0.00558356,0.12006807,0.07220223,0.12404489
2092,0.00567489,0.12156568,0.07230518,0.12565542
2093,0.00576622,0.1230633,0.07240813,0.12726594
2094,0.00585755,0.12456091,0.07251108,0.12887647
2095,0.00594887,0.12605853,0.07261403,0.13048699
2096,0.0060402,0.12755614,0.07271697,0.13209752
2097,0.00613153,0.12905376,0.07281992,0.13370804
2098,0.00622286,0.13055137,0.07292287,0.13531857
2099,0.00631419,0.13204899,0.07302582,0.1369291
2100,0.00640552,0.1335466,0.07312876,0.13853962
2101,0.00640552,0.1335466,0.07312876,0.13853962
2102,0.00640552,0.1335466,0.07312876,0.13853962
2103,0.00640552,0.1335466,0.07312876,0.13853962
2104,0.00640552,0.1335466,0.07312876,0.13853962
2105,0.00640552,0.1335466,0.07312876,0.13853962
2106,0.00640552,0.1335466,0.07312876,0.13853962
2107,0.00640552,0.1335466,0.07312876,0.13853962
2108,0.00640552,0.1335466,0.07312876,0.13853962
2109,0.00640552,0.1335466,0.07312876,0.13853962
2110,0.00640552,0.1335466,0.07312876,0.13853962
2111,0.00640552,0.1335466,0.07312876,0.13853962
2112,0.00640552,0.1335466,0.07312876,0.13853962
2113,0.00640552,0.1335466,0.07312876,0.13853962
2114,0.00640552,0.1335466,0.07312876,0.13853962
2115,0.00640552,0.1335466,0.07312876,0.13853962
2116,0.00640552,0.1335466,0.07312876,0.13853962
2117,0.00640552,0.1335466,0.07312876,0.13853962
2118,0.00640552,0.1335466,0.07312876,0.13853962
2119,0.00640552,0.1335466,0.07312876,0.13853962
2120,0.00640552,0.1335466,0.07312876,0.13853962
2121,0.00640552,0.1335466,0.07312876,0.13853962
2122,0.00640552,0.1335466,0.07312876,0.13853962
2123,0.00640552,0.1335466,0.07312876,0.13853962
2124,0.00640552,0.1335466,0.07312876,0.13853962
2125,0.00640552,0.1335466,0.07312876,0.13853962
2126,0.00640552,0.1335466,0.07312876,0.13853962
2127,0.00640552,0.1335466,0.07312876,0.13853962
2128,0.00640552,0.1335466,0.07312876,0.13853962
2129,0.00640552,0.1335466,0.07312876,0.13853962
2130,0.00640552,0.1335466,0.07312876,0.13853962
2131,0.00640552,0.1335466,0.07312876,0.13853962
2132,0.00640552,0.1335466,0.07312876,0.13853962
2133,0.00640552,0.1335466,0.07312876,0.13853962
2134,0.00640552,0.1335466,0.07312876,0.13853962
2135,0.00640552,0.1335466,0.07312876,0.13853962
2136,0.00640552,0.1335466,0.07312876,0.13853962
2137,0.00640552,0.1335466,0.07312876,0.13853962
2138,0.00640552,0.1335466,0.07312876,0.13853962
2139,0.00640552,0.1335466,0.07312876,0.13853962
2140,0.00640552,0.1335466,0.07312876,0.13853962
2141,0.00640552,0.1335466,0.07312876,0.13853962
2142,0.00640552,0.1335466,0.07312876,0.13853962
2143,0.00640552,0.1335466,0.07312876,0.13853962
2144,0.00640552,0.1335466,0.07312876,0.13853962
2145,0.00640552,0.1335466,0.07312876,0.13853962
2146,0.00640552,0.1335466,0.07312876,0.13853962
2147,0.00640552,0.1335466,0.07312876,0.13853962
2148,0.00640552,0.1335466,0.07312876,0.13853962
2149,0.00640552,0.1335466,0.07312876,0.13853962
2150,0.00640552,0.1335466,0.07312876,0.13853962
2151,0.00640552,0.1335466,0.07312876,0.13853962
2152,0.00640552,0.1335466,0.07312876,0.13853962
2153,0.00640552,0.1335466,0.07312876,0.13853962
2154,0.00640552,0.1335466,0.07312876,0.13853962
2155,0.00640552,0.1335466,0.07312876,0.13853962
2156,0.00640552,0.1335466,0.07312876,0.13853962
2157,0.00640552,0.1335466,0.07312876,0.13853962
2158,0.00640552,0.1335466,0.07312876,0.13853962
2159,0.00640552,0.1335466,0.07312876,0.13853962
2160,0.00640552,0.1335466,0.07312876,0.13853962
2161,0.00640552,0.1335466,0.07312876,0.13853962
2162,0.00640552,0.1335466,0.07312876,0.13853962
2163,0.00640552,0.1335466,0.07312876,0.13853962
2164,0.00640552,0.1335466,0.07312876,0.13853962
2165,0.00640552,0.1335466,0.07312876,0.13853962
2166,0.00640552,0.1335466,0.07312876,0.13853962
2167,0.00640552,0.1335466,0.07312876,0.13853962
2168,0.00640552,0.1335466,0.07312876,0.13853962
2169,0.00640552,0.1335466,0.07312876,0.13853962
2170,0.00640552,0.1335466,0.07312876,0.13853962
2171,0.00640552,0.1335466,0.07312876,0.13853962
2172,0.00640552,0.1335466,0.07312876,0.13853962
2173,0.00640552,0.1335466,0.07312876,0.13853962
2174,0.00640552,0.1335466,0.07312876,0.13853962
2175,0.00640552,0.1335466,0.07312876,0.13853962
2176,0.00640552,0.1335466,0.07312876,0.13853962
2177,0.00640552,0.1335466,0.07312876,0.13853962
2178,0.00640552,0.1335466,0.07312876,0.13853962
2179,0.00640552,0.1335466,0.07312876,0.13853962
2180,0.00640552,0.1335466,0.07312876,0.13853962
2181,0.00640552,0.1335466,0.07312876,0.13853962
2182,0.00640552,0.1335466,0.07312876,0.13853962
2183,0.00640552,0.1335466,0.07312876,0.13853962
2184,0.00640552,0.1335466,0.07312876,0.13853962
2185,0.00640552,0.1335466,0.07312876,0.13853962
2186,0.00640552,0.1335466,0.07312876,0.13853962
2187,0.00640552,0.1335466,0.07312876,0.13853962
